Location,male_median_salary,female_median_salary,STATE,gender_pay_gap
Maryborough (Vic.),34155,25080,VIC,26.570048309178745
Bendigo,32072,24159,VIC,24.672611623846347
East Bendigo - Kennington,37004,25024,VIC,32.37487839152524
Kangaroo Flat - Golden Square,36893,25932,VIC,29.710243135554173
Strathfieldsaye,49984,26808,VIC,46.366837387964146
Bendigo Region - South,42495,26745,VIC,37.06318390398871
Castlemaine,33147,21877,VIC,34.000060337285426
Heathcote,39279,22101,VIC,43.73329259909875
Kyneton,41197,24128,VIC,41.43262858946039
Loddon,25903,18024,VIC,30.417326178434926
Bannockburn,49595,27449,VIC,44.65369492892429
Winchelsea,40003,20782,VIC,48.048896332775044
Geelong,32065,23120,VIC,27.896460314985188
Geelong West - Hamlyn Heights,40140,27293,VIC,32.00548081714001
Highton,36932,23932,VIC,35.19982670854544
Lara,50000,28273,VIC,43.454
Leopold,43684,25516,VIC,41.589598022159144
Newcomb - Moolap,32906,23768,VIC,27.770011548045947
Newtown (Vic.),38514,25158,VIC,34.6782988004362
North Geelong - Bell Park,35539,25403,VIC,28.520779988182
Clifton Springs,39976,25546,VIC,36.09665799479688
Portarlington,35860,23744,VIC,33.786949247071945
Point Lonsdale - Queenscliff,34472,23927,VIC,30.59004409375725
Torquay,45569,24000,VIC,47.3326164717242
Euroa,28258,22099,VIC,21.79559770684408
Mansfield (Vic.),25366,16991,VIC,33.01663644248206
Nagambie,36789,21615,VIC,41.24602462692653
Upper Yarra Valley,39680,16049,VIC,59.553931451612904
Yea,37000,22848,VIC,38.24864864864865
Benalla Region,31406,21013,VIC,33.092402725593836
Wangaratta,36519,24912,VIC,31.78345518771051
Bright - Mount Beauty,22837,13918,VIC,39.055042255988084
Myrtleford,28248,18506,VIC,34.48739733786463
Wodonga,42470,25282,VIC,40.47092064987049
Yackandandah,40102,22433,VIC,44.06014662610344
Drouin,41822,24639,VIC,41.08603127540529
Trafalgar (Vic.),43030,25048,VIC,41.78944922147339
Warragul,41416,23551,VIC,43.13550318717404
Bairnsdale,35576,25057,VIC,29.56768608050371
Lakes Entrance,28748,20570,VIC,28.447196326700986
Paynesville,29008,20623,VIC,28.90581908439051
Foster,31655,18725,VIC,40.84662770494393
French Island,28204,7981,VIC,71.70259537654233
Korumburra,40176,23292,VIC,42.02508960573476
Leongatha,39243,22024,VIC,43.87788905027648
Phillip Island,28704,18467,VIC,35.664018952062435
Wilsons Promontory,106759,17536,VIC,83.5742185670529
Churchill,43190,25334,VIC,41.34290344987265
Traralgon,46496,29489,VIC,36.57733998623537
Yallourn North - Glengarry,47666,26458,VIC,44.49292997104855
Alps - West,12480,8445,VIC,32.331730769230774
Maffra,38930,22028,VIC,43.4163883894169
Brunswick,33362,25845,VIC,22.531622804388228
Brunswick East,37021,28836,VIC,22.10907322870803
Coburg,35130,27696,VIC,21.161400512382578
Northcote,45276,33001,VIC,27.11149394822864
Thornbury,40997,30493,VIC,25.62138693075103
Moonee Ponds,43511,33701,VIC,22.546022844797868
Carlton,16447,13088,VIC,20.423177479175532
Docklands,40615,20000,VIC,50.757109442324264
East Melbourne,46412,35115,VIC,24.340687753167284
